employee_id,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
62492,3,27,3,2,0,0,68,no
23686,1,29,2,3,0,0,48,no
6610,1,31,4,6,1,0,71,no
11768,1,29,3,4,1,0,83,no
77546,1,26,3,5,0,0,48,no
64231,1,43,5,5,0,0,72,yes
47531,2,35,5,7,0,0,61,no
22722,1,41,3,12,0,0,66,no
30278,1,53,4,5,0,0,80,no
28518,1,40,5,2,1,0,50,no
26919,1,31,3,7,0,0,47,no
25007,2,34,4,6,0,0,75,no
21767,1,32,1,9,0,0,55,no
36696,1,41,1,2,0,0,79,yes
7526,1,29,2,4,0,0,73,no
10594,1,33,1,8,0,0,48,no
42261,1,28,5,2,1,0,54,no
30014,1,43,3,3,1,0,57,no
13945,1,29,3,4,0,0,45,no
14258,1,28,3,3,1,0,63,no
32302,2,46,3,2,0,0,50,no
30546,1,31,3,4,0,0,87,no
50088,1,35,3,8,0,0,48,no
45764,1,27,,1,1,0,56,yes
36240,1,31,4,5,0,0,62,no
22500,1,29,5,2,1,0,61,yes
27328,1,44,3,17,0,0,48,no
73262,1,33,3,4,0,0,67,no
2729,1,38,2,10,0,0,77,no
72020,1,40,5,9,0,0,56,no
41168,3,27,3,2,0,0,84,no
64094,1,34,5,5,0,0,49,no
47298,1,51,3,22,0,0,55,no
27103,1,44,5,15,1,0,77,no
1686,1,42,3,10,0,0,52,no
67759,1,59,5,12,1,0,81,yes
35723,2,31,1,2,1,0,81,no
24302,1,28,4,4,0,0,61,no
51874,3,28,5,3,0,0,84,no
48395,1,37,3,10,0,0,70,no
34163,1,34,5,6,0,0,46,no
40145,2,35,5,7,1,0,85,no
75936,2,36,5,3,1,0,79,yes
71105,1,30,3,8,1,0,84,no
27706,1,28,3,5,0,0,54,no
26480,1,31,4,6,0,0,53,no
21067,1,25,3,3,0,0,81,no
34438,1,23,4,2,1,0,55,no
15067,1,32,5,6,0,0,50,no
3760,2,22,,1,1,0,84,no
69886,1,58,1,10,0,0,49,no
58948,1,26,5,3,1,0,77,yes
63688,1,53,4,14,0,0,69,no
5239,1,37,4,9,0,0,59,no
67237,1,44,5,4,1,0,90,yes
20469,1,36,1,9,0,0,65,no
39852,1,34,5,3,1,0,83,no
58126,1,37,3,8,0,0,52,no
33782,1,34,3,10,0,0,68,no
3943,1,53,3,21,0,0,72,no
27696,1,39,3,7,0,0,54,no
15377,1,37,3,2,0,0,48,no
46971,1,42,4,5,1,0,57,no
63054,1,32,3,6,0,0,61,no
13036,1,32,3,9,0,0,70,no
72323,2,26,5,2,0,0,81,no
35610,1,20,,1,0,0,67,no
43039,1,33,2,7,0,0,58,no
40859,1,41,3,5,0,0,51,no
77927,1,32,5,4,1,0,68,no
13493,1,30,3,5,0,0,49,no
76361,1,45,1,7,1,0,49,no
51075,1,24,2,3,0,0,63,no
13569,1,40,4,7,1,0,57,no
74719,2,43,3,11,0,0,49,no
66158,1,32,1,6,0,0,51,no
55704,1,26,,1,0,1,50,no
60793,1,55,4,26,0,0,49,no
42891,2,33,2,8,0,0,72,no
69045,2,35,1,4,0,0,68,no
34973,1,41,4,5,0,0,50,no
27973,2,23,1,2,0,0,51,no
23610,1,52,4,15,1,0,55,no
29541,1,37,5,10,1,0,65,no
13117,1,38,4,5,0,0,57,no
57909,2,36,3,7,1,0,44,no
39689,3,43,3,6,0,0,84,no
46449,1,32,3,7,1,0,50,no
18480,1,32,1,9,0,0,47,no
24272,1,36,3,6,0,0,81,no
52908,1,40,3,10,0,0,81,no
78286,1,34,3,5,0,0,46,no
12990,1,38,1,3,0,0,47,no
44604,1,43,4,19,0,0,57,no
20338,1,35,5,3,0,0,79,yes
29410,2,33,1,6,0,0,50,no
7621,1,23,,1,1,0,48,no
3699,1,35,5,2,0,0,47,no
2928,1,29,5,2,1,0,82,no
46262,1,37,5,7,1,0,64,no
14880,1,28,3,4,0,0,70,no
68313,1,37,5,3,0,0,82,no
6809,1,38,4,8,0,0,82,no
23929,2,35,2,9,0,0,52,no
41893,1,30,5,4,1,0,62,yes
73373,1,26,4,1,1,0,90,no
57384,2,33,3,7,0,0,52,no
75525,1,28,,1,1,0,53,no
14684,1,28,1,5,1,0,80,yes
9168,1,39,5,5,0,0,65,no
76309,2,30,3,8,1,0,48,no
40751,1,27,4,2,1,0,89,no
51053,1,27,,1,0,0,48,no
48270,1,40,5,5,1,1,92,yes
76176,1,36,1,5,0,0,52,no
22859,2,38,5,7,1,0,78,no
74220,1,50,5,22,1,0,46,no
9832,1,52,5,9,1,0,52,yes
51272,1,38,5,5,0,0,57,no
39942,1,37,3,5,1,0,97,yes
14464,1,35,3,7,0,0,80,no
56835,1,28,2,2,0,0,49,no
13524,1,39,3,11,0,0,52,no
37779,1,24,4,3,1,0,50,no
66859,1,33,4,10,1,0,49,no
22883,1,40,1,4,0,0,60,no
40534,1,52,3,16,0,0,63,no
46856,1,22,4,2,0,0,51,no
56007,1,39,4,5,0,0,88,no
48728,1,33,4,7,0,0,63,no
8356,1,32,4,2,0,0,47,no
75349,1,47,3,16,0,0,63,no
249,1,31,2,3,0,0,57,no
76271,1,30,4,2,0,0,63,no
7065,1,28,3,5,1,0,57,no
70249,2,50,2,17,0,0,81,no
39841,1,32,3,3,0,0,77,no
45772,1,40,2,11,0,0,47,no
36813,1,33,2,7,1,0,52,no
55463,1,47,3,4,0,0,51,no
46333,1,28,,1,0,0,61,no
11659,1,35,3,6,0,0,46,no
4887,1,28,,1,0,0,80,no
66678,1,32,5,2,1,1,86,yes
64416,1,58,1,14,0,0,83,no
71695,1,55,1,15,0,0,82,no
1720,1,31,4,3,0,0,59,no
59070,1,41,5,11,1,0,51,no
69955,1,31,5,5,1,0,64,no
5271,1,27,3,3,1,0,78,no
66693,1,32,4,3,0,0,86,no
69537,1,31,4,6,1,0,53,no
63056,1,33,5,3,0,0,86,no
56934,1,27,2,2,0,0,62,no
31745,1,55,3,17,0,0,59,no
6118,3,39,5,8,0,0,70,yes
9253,1,34,4,6,1,0,59,no
41507,1,32,4,2,0,0,62,no
70714,2,40,3,6,0,0,70,no
47681,1,45,3,17,0,0,72,no
67799,1,32,2,3,0,0,47,no
71063,1,32,5,7,0,0,81,no
25859,1,40,3,5,0,0,68,no
52343,1,30,3,5,0,0,83,no
946,1,32,5,8,1,0,68,yes
61906,1,32,5,7,1,0,64,no
3824,3,38,2,4,1,0,48,no
56204,1,32,3,6,1,0,61,no
71250,1,34,2,9,0,0,69,no
70998,1,42,3,13,1,0,61,no
66430,1,35,5,8,0,0,87,no
17432,1,31,5,7,0,0,60,no
66252,1,30,4,4,1,0,55,no
68543,1,28,5,2,1,0,88,yes
14244,1,26,,1,0,0,52,no
30352,1,33,3,4,0,0,69,no
53310,1,24,3,1,0,0,79,no
76831,1,35,5,3,1,0,53,no
25324,1,27,4,3,1,0,53,no
74800,1,26,3,2,1,0,48,no
65581,2,37,1,8,0,0,47,no
62644,1,24,4,2,0,0,52,no
28643,1,54,5,17,0,0,54,no
6400,1,44,3,11,0,0,49,no
74102,1,29,3,8,0,0,67,no
24746,2,28,1,4,0,0,83,no
1879,2,35,3,9,0,0,74,no
40195,1,44,3,3,1,0,50,no
31018,1,33,5,9,0,0,64,no
13952,1,24,5,2,1,0,52,no
61013,1,30,4,3,0,0,96,yes
6690,1,29,,1,1,0,60,no
65923,1,28,3,2,0,0,50,no
57326,1,30,5,4,1,0,82,no
64250,2,33,1,6,0,0,48,no
10531,1,26,4,6,1,1,60,no
63933,2,24,,1,1,0,60,no
11914,1,20,4,2,0,0,45,no
45388,1,27,4,2,0,0,52,no
60832,1,39,4,7,0,0,49,no
42415,2,31,5,5,0,0,60,no
16745,2,33,2,8,1,0,54,no
43275,1,22,,1,0,0,50,no
16884,3,36,3,8,0,0,74,no
60708,1,27,5,2,0,0,47,no
62089,3,25,1,3,0,0,62,no
30788,1,41,4,7,0,0,59,no
75665,1,29,4,2,0,0,54,no
58283,1,53,4,16,1,0,72,no
50193,2,24,,1,0,0,86,yes
1034,1,41,5,8,1,0,51,no
45806,1,26,5,2,0,0,48,no
34761,1,27,,1,1,0,50,no
62735,1,29,2,3,0,0,60,no
19347,1,40,5,12,1,0,55,no
59284,4,28,3,2,0,0,66,no
53953,2,27,3,2,1,0,58,no
59709,1,28,4,3,0,0,55,no
58609,2,31,5,5,1,0,49,no
3660,1,25,5,2,1,0,81,no
18424,1,23,4,2,0,0,46,no
46771,1,32,3,7,0,0,51,no
51677,1,34,4,9,0,0,59,no
2126,1,34,4,8,0,0,59,no
71865,1,28,,1,1,0,86,no
17101,3,33,,1,1,0,54,yes
19670,1,32,5,5,1,0,62,no
17535,1,29,3,8,0,0,80,no
16325,2,40,3,5,1,0,52,no
72494,1,37,5,7,1,0,50,no
48696,1,29,,1,0,0,50,no
1291,1,40,3,11,0,0,49,no
37268,1,25,5,2,1,0,49,no
72293,1,29,2,3,0,0,47,no
73523,1,45,3,5,0,0,43,no
6346,2,34,3,3,0,0,61,no
17549,1,58,3,11,0,0,68,no
71995,1,50,3,10,1,0,51,no
74697,1,32,5,2,0,0,48,no
57881,1,31,1,7,0,0,70,no
71943,1,26,4,1,0,0,81,no
38221,1,34,3,7,0,1,70,yes
76848,3,26,2,1,0,0,50,no
239,2,24,,1,1,0,69,no
57266,2,32,1,5,0,0,52,no
50715,1,32,3,7,1,1,79,no
28490,1,34,3,5,0,0,67,no
36096,1,28,3,4,0,0,78,no
21113,1,42,2,8,0,0,47,no
77580,1,39,3,4,1,0,69,no
24457,1,40,4,6,0,0,45,no
22498,3,27,1,3,0,0,53,no
65170,1,33,1,10,0,0,51,no
59546,2,33,3,6,0,0,57,no
22419,1,32,4,4,0,0,68,no
13800,1,29,4,2,1,0,87,no
4440,1,30,5,4,1,0,46,no
34478,1,25,1,3,1,1,73,no
76681,1,40,3,9,0,0,63,no
9773,1,33,4,4,0,0,75,no
64605,1,30,4,5,1,0,78,no
13695,1,29,5,4,1,0,54,no
39467,1,38,3,7,0,0,57,no
34093,2,32,3,5,0,0,79,no
27319,1,24,5,2,0,0,63,no
13046,1,26,4,3,1,0,58,no
58932,1,33,4,6,0,0,48,no
64261,1,31,1,4,0,0,51,no
28318,1,31,5,6,1,0,65,no
15004,1,26,3,3,1,0,75,no
32321,1,52,5,11,1,0,65,no
66865,1,30,3,5,1,0,83,no
27912,1,45,1,4,0,0,52,no
75050,1,42,4,3,0,0,57,no
75891,1,29,,1,0,0,57,no
27896,1,36,1,4,1,0,45,no
66079,1,50,1,10,1,0,78,no
21168,1,57,5,27,1,0,57,no
69861,1,34,3,3,1,0,63,no
1885,1,32,4,3,0,0,85,no
36589,1,33,3,9,0,0,78,no
75148,1,39,4,6,0,0,66,yes
12049,1,34,5,9,0,0,46,no
52565,1,26,,1,1,0,56,no
38877,2,25,2,3,0,0,51,no
58895,1,28,,1,1,0,77,yes
36832,1,29,,1,1,0,70,no
32325,1,54,3,18,0,0,46,no
38014,1,39,5,10,1,0,61,no
30101,1,52,4,17,0,0,57,no
72795,1,26,,1,0,0,51,no
64716,1,27,,1,1,0,77,no
24786,1,30,,1,1,0,56,no
45050,1,42,3,4,1,0,89,no
68487,3,29,,1,1,0,87,no
40944,1,46,3,16,0,0,72,no
51778,1,38,5,7,0,0,59,no
65313,1,26,3,2,0,0,84,no
76877,2,29,1,3,0,0,49,no
65208,1,27,5,3,1,0,60,no
11355,1,34,5,10,1,0,52,no
27355,2,25,3,3,0,0,46,no
44440,1,27,,1,0,0,47,no
1644,1,29,3,4,1,0,61,no
75847,1,34,1,9,0,0,60,no
68490,1,39,5,8,0,0,45,no
4626,1,35,4,3,0,0,60,no
15517,1,29,5,1,1,0,52,yes
2581,1,39,1,8,0,0,80,no
17696,1,31,3,8,0,0,75,no
77189,1,37,2,7,0,0,47,no
27066,1,52,5,18,0,0,58,no
63260,1,36,3,9,1,1,48,no
49995,3,32,3,6,0,0,87,no
13264,1,28,3,3,0,0,52,no
48221,1,30,4,5,1,0,86,no
75393,1,37,3,3,0,0,51,no
18227,3,37,3,8,0,0,46,no
24526,1,40,1,7,0,0,81,no
49800,1,26,4,3,0,0,82,no
39383,2,32,3,3,0,0,51,no
38858,1,38,3,9,1,0,93,yes
37392,1,28,2,4,0,1,55,no
75111,3,29,1,2,0,0,75,no
37916,1,28,,1,0,0,45,no
5922,1,25,4,2,1,0,75,no
28437,1,30,2,4,0,0,42,no
73317,2,23,,1,0,0,85,no
41020,2,36,4,4,1,0,56,no
46489,1,48,3,18,0,0,54,no
721,4,29,3,4,0,0,51,no
20322,1,40,2,7,0,0,58,no
3927,1,28,5,3,1,0,51,no
27888,1,36,3,5,0,0,57,no
41209,3,31,5,8,1,0,98,yes
23801,1,33,2,4,1,0,49,yes
24412,1,29,2,4,0,0,49,no
44325,1,26,3,2,0,0,62,no
52898,1,33,3,7,0,0,73,no
51510,1,51,4,6,0,0,53,no
70271,1,54,3,8,1,0,50,no
5665,1,26,,1,0,0,68,no
1560,1,34,5,4,1,0,51,no
67956,1,32,2,4,1,0,49,no
35271,1,34,4,10,1,0,61,no
44688,1,36,4,4,0,0,48,no
37997,1,33,2,4,0,0,87,no
68815,1,29,5,4,1,0,77,no
60008,1,34,3,2,0,0,47,no
76962,2,30,1,2,0,0,87,no
8514,2,37,5,7,0,0,83,no
46986,1,31,3,2,0,0,83,no
14063,1,40,3,10,0,0,62,no
23274,2,26,1,4,0,0,53,no
62812,1,31,5,7,1,0,64,yes
57097,2,41,5,4,1,0,77,yes
35586,1,31,3,5,0,0,83,no
4749,2,38,5,10,1,1,93,yes
51127,1,29,4,6,0,0,70,no
35691,1,29,3,4,1,0,51,no
35299,2,56,3,6,0,0,85,no
64537,2,33,1,4,1,1,76,no
14769,1,39,4,4,0,0,50,no
34760,1,30,3,7,0,0,45,no
50876,2,27,3,2,0,0,61,no
78103,5,33,1,6,0,0,47,no
10920,1,35,2,10,0,0,79,no
1163,1,41,2,9,0,0,70,no
6648,1,41,3,4,0,0,80,no
43521,1,26,4,4,0,0,53,no
10342,1,33,1,6,0,0,57,no
67815,2,40,1,13,0,0,49,no
18012,1,35,3,6,0,0,48,no
39875,1,46,3,10,0,0,72,no
56529,5,31,3,2,0,0,53,no
9876,5,29,1,5,0,0,69,no
12885,1,41,3,6,0,0,50,no
1700,2,28,4,5,0,0,83,no
21111,1,33,,1,0,0,69,no
30401,2,31,3,4,0,0,80,no
59399,1,29,3,4,0,0,82,no
18603,1,32,5,6,0,0,60,no
45739,1,44,3,10,0,0,78,no
42082,1,31,4,3,0,0,60,no
75492,1,25,,1,1,0,70,no
61623,1,58,3,19,0,0,57,no
3011,1,39,5,3,1,0,85,no
72257,1,29,,1,0,0,62,no
6853,1,30,5,2,1,0,82,no
66845,1,38,3,10,1,0,58,no
64098,2,48,1,7,0,0,47,no
33427,1,30,1,2,0,0,59,no
14555,1,36,4,6,1,0,73,no
20090,1,37,5,3,0,0,56,no
17320,1,32,1,2,0,0,83,no
56116,4,37,3,10,0,0,48,no
41642,1,35,4,8,0,0,82,no
29897,1,28,,1,0,0,59,no
5605,1,44,3,9,0,0,48,no
25230,6,28,1,6,0,0,55,no
57612,1,41,3,2,0,0,57,no
34945,1,58,5,5,0,0,49,no
27568,3,32,1,6,0,0,47,no
63150,1,37,3,8,0,0,52,no
75286,1,53,5,25,0,0,62,no
66278,2,36,5,3,1,0,62,no
14846,1,29,4,3,0,0,48,no
10945,2,43,3,12,0,0,85,no
39067,1,27,,1,1,0,61,no
7855,1,29,3,5,0,0,85,no
34801,1,25,4,3,0,0,52,no
19051,1,28,3,2,0,0,83,no
3434,2,33,3,4,0,0,50,no
60636,1,32,2,2,0,0,55,no
24975,1,34,3,3,0,0,71,no
15387,1,27,,1,0,0,50,no
7388,2,22,3,2,1,1,47,no
24995,1,55,5,23,1,0,48,yes
58928,1,31,2,4,1,0,57,no
13934,1,32,3,5,1,0,51,no
76206,1,43,4,14,0,0,44,no
56795,1,27,4,4,1,0,60,no
18777,1,28,5,2,1,0,79,no
26835,1,27,1,4,0,0,47,no
55613,1,28,3,4,1,0,55,no
69459,1,32,5,7,0,0,78,yes
69717,1,33,3,4,0,0,58,no
16249,1,33,4,2,1,0,62,no
71611,1,27,5,4,0,0,56,no
34400,1,36,3,10,0,0,79,yes
63105,1,26,2,2,1,0,77,yes
3426,1,26,4,2,1,1,69,no
70266,1,32,5,2,1,0,86,no
47548,1,28,2,3,0,0,49,no
2727,1,43,3,9,0,0,60,no
2170,1,40,3,5,0,0,47,no
50772,1,31,3,3,0,1,84,no
39518,1,34,,1,1,0,58,no
26148,1,46,3,15,0,0,50,no
38528,1,40,3,10,1,0,96,yes
5594,1,26,,1,0,0,57,no
23654,1,25,,1,1,0,85,no
58504,1,36,5,5,1,0,81,no
74702,1,28,,1,0,0,61,no
45331,1,45,3,12,1,0,77,yes
77443,1,25,,1,1,0,49,no
10418,1,32,5,4,1,0,83,yes
29124,1,35,5,4,1,0,56,no
63970,1,44,3,7,1,0,47,no
46881,1,36,5,3,0,0,85,no
24926,1,42,1,13,0,0,64,no
1881,1,39,1,10,1,0,61,no
13033,1,39,5,6,1,0,62,no
66090,1,27,3,1,0,0,60,no
50308,2,28,3,2,0,0,49,no
40427,1,27,3,2,1,0,89,no
52652,1,33,2,7,0,0,70,no
35801,1,26,3,3,0,0,51,no
38498,1,51,3,3,1,0,50,no
13910,2,32,5,5,1,0,92,no
26319,1,36,3,10,0,0,44,no
35221,2,44,3,9,0,0,60,no
4729,1,32,3,2,0,0,59,no
73826,1,28,3,4,0,0,66,no
28617,1,55,3,19,0,0,57,no
62267,1,25,,1,1,0,89,no
60203,1,34,3,7,1,0,50,no
12607,1,32,4,6,0,0,58,no
63195,1,38,2,6,0,0,77,no
53580,1,30,3,4,0,0,48,no
344,2,46,1,17,0,0,51,no
45512,1,55,5,19,1,0,46,no
15117,1,41,3,6,0,0,83,no
8813,1,24,3,2,0,0,57,no
17913,1,34,5,2,1,0,52,no
24687,1,31,,1,0,0,54,no
9819,1,32,4,5,1,0,69,no
76145,1,30,,1,0,0,86,no
23402,1,27,3,6,0,0,83,no
42601,1,25,3,2,1,0,49,no
21593,2,36,1,8,0,0,52,no
33061,1,36,5,6,1,0,45,no
57655,1,46,5,16,1,0,61,no
40081,1,20,5,2,0,0,48,no
44049,1,28,3,5,0,0,53,no
53930,2,31,,1,0,0,48,no
13007,1,28,3,4,0,0,71,no
54068,1,22,,1,0,0,48,no
50110,1,30,3,5,0,0,69,no
43215,1,50,3,20,0,0,47,no
30704,1,35,3,2,1,0,69,no
37623,1,30,,1,0,0,61,no
44693,2,38,3,4,0,0,86,no
5086,1,32,1,4,0,0,82,no
11148,1,52,1,6,1,0,75,no
22400,1,27,3,4,0,0,89,no
71864,1,32,5,5,0,0,63,no
20693,1,32,1,6,0,0,57,no
26486,1,31,3,8,0,0,81,no
67203,1,52,2,15,0,0,49,no
15043,1,43,5,3,1,0,50,no
60452,1,30,3,2,1,0,51,no
39991,1,45,4,6,0,0,57,no
69661,1,32,4,5,1,0,84,no
75030,1,32,3,8,0,0,64,no
55355,1,32,2,6,0,0,49,no
70251,1,54,4,3,1,0,61,no
46811,3,28,5,3,0,0,44,no
78020,1,36,5,7,1,0,51,no
74886,1,32,3,8,0,0,72,no
77250,1,29,2,2,0,0,67,no
40759,1,40,4,11,1,0,67,no
37878,1,36,3,5,0,0,72,no
32993,3,31,4,7,0,0,54,no
25426,1,29,2,4,0,0,85,no
789,1,33,1,2,0,0,87,no
48887,1,58,1,4,0,0,82,no
72165,2,37,3,10,0,0,55,no
53940,1,34,4,6,0,0,51,no
43715,1,37,3,7,0,0,55,no
3779,1,32,3,4,0,0,49,no
69484,1,32,4,3,0,0,50,no
10853,1,26,2,4,0,0,49,no
1858,1,29,1,4,0,0,52,no
52131,2,35,5,7,0,0,82,no
35634,1,27,5,3,1,0,81,no
5917,2,26,5,2,1,0,85,no
44184,1,24,2,2,0,0,71,no
35467,2,29,3,3,1,0,48,no
77977,1,35,3,3,0,0,83,no
31653,2,37,2,10,0,0,71,no
22979,1,34,3,4,0,0,46,no
989,2,30,4,7,0,0,71,no
16793,1,40,1,11,0,0,49,no
25583,1,33,2,8,0,0,82,yes
58104,1,54,5,18,1,0,78,no
9256,1,40,5,2,1,1,90,yes
20075,1,45,5,17,1,0,52,no
1450,1,27,,1,1,0,50,no
70582,1,29,4,2,0,0,50,no
51751,1,43,4,15,1,0,62,no
74944,1,43,5,6,0,0,63,no
10765,1,34,2,3,0,0,87,no
61454,1,31,4,3,1,0,54,no
71212,2,28,,1,0,0,75,no
30176,1,33,3,7,1,0,50,no
28712,2,47,5,15,0,0,61,no
76445,1,38,1,9,0,0,50,no
45079,1,30,1,6,0,0,61,no
55660,2,35,5,4,0,0,55,no
20397,2,34,5,7,0,0,73,yes
73872,1,33,1,7,0,0,60,no
982,1,28,2,5,0,0,77,no
40413,1,36,3,9,0,0,53,no
7415,1,28,5,3,0,0,53,no
16683,1,36,3,10,0,0,61,no
53328,5,24,,1,0,0,51,no
22263,1,26,3,2,0,0,66,no
21038,1,52,4,19,0,0,46,no
6918,1,32,5,5,1,0,44,no
51573,1,48,5,4,0,0,60,no
2278,1,43,5,5,0,0,52,no
70652,1,50,4,19,0,0,48,no
26986,1,56,4,13,1,0,52,no
52206,3,36,3,5,0,0,51,no
55616,1,35,1,9,0,0,65,no
21788,1,32,1,4,0,0,52,no
74087,1,29,3,2,0,0,50,no
42449,1,32,1,6,0,0,84,no
4106,1,40,1,8,0,0,51,no
47810,1,56,2,17,0,0,55,no
58506,1,29,4,6,0,0,57,no
69506,1,44,4,10,0,0,52,no
62152,1,42,1,14,0,0,59,no
71614,1,40,3,7,0,0,70,no
47718,1,28,4,2,0,0,52,no
43426,2,25,2,2,0,0,53,no
45195,1,37,3,9,0,0,61,yes
3041,3,27,3,5,0,0,76,no
24842,1,37,3,3,1,0,82,no
33075,1,40,4,7,0,0,59,no
47396,1,34,1,9,0,0,79,no
4609,1,26,4,1,1,0,84,no
69933,1,29,4,5,1,0,61,no
50087,1,22,1,2,0,0,50,no
31548,1,29,,1,1,0,81,no
67561,1,50,4,20,0,0,51,no
50181,3,39,2,11,0,0,48,no
13983,1,26,,1,0,0,50,no
57586,2,34,1,6,1,0,49,no
25205,1,30,,1,0,0,83,no
42121,1,31,2,4,1,0,59,no
52257,1,39,1,11,0,0,59,no
16519,1,39,1,6,0,0,79,no
12920,1,38,3,4,1,0,57,no
58330,1,36,3,7,1,0,68,no
56376,1,25,5,2,1,0,50,no
39747,1,54,1,25,0,0,46,no
68792,1,34,5,6,0,0,53,no
15577,1,34,1,7,0,0,73,no
43681,1,38,5,8,0,0,85,no
867,3,29,4,6,0,0,79,no
35833,1,38,2,4,1,0,73,no
23550,1,23,5,2,1,0,79,no
67861,1,27,5,6,1,0,48,no
48462,2,38,3,7,0,0,53,no
4813,1,41,3,10,0,0,81,no
23033,1,26,,1,0,0,64,yes
17600,1,29,4,4,0,0,85,no
11885,1,35,4,3,0,0,54,no
22365,1,38,3,9,0,0,59,no
1857,1,40,4,5,1,0,58,no
53005,1,32,4,9,0,0,71,no
47704,1,36,4,8,1,0,58,yes
12517,1,29,4,3,0,0,65,no
7041,1,27,,1,0,0,49,no
53473,2,33,4,5,0,0,86,no
22094,1,32,3,10,1,0,61,no
2036,1,37,5,6,0,0,58,no
75362,1,35,5,3,1,0,70,no
74850,2,27,3,2,0,0,60,no
37189,1,35,1,6,0,0,51,no
31890,1,36,3,5,0,0,53,no
41692,3,34,3,6,1,0,59,no
19312,2,51,1,14,0,0,47,no
53062,1,46,5,15,1,0,62,yes
64305,1,31,3,6,0,0,49,no
33751,1,27,,1,1,0,63,no
33407,1,28,3,5,0,0,51,no
71197,2,40,1,6,1,0,50,no
2995,1,27,3,5,0,0,87,no
29572,1,28,3,3,1,0,59,no
50062,1,25,1,4,0,0,51,no
12706,1,38,4,5,0,0,65,no
1717,2,36,5,10,1,0,55,no
7825,1,42,1,10,0,0,50,no
41876,3,37,4,9,0,0,63,no
36000,1,35,5,3,1,0,49,no
23704,1,39,5,3,1,0,50,no
12175,1,30,3,7,0,0,48,no
26061,1,29,3,4,0,0,52,no
2966,1,33,3,8,0,0,49,no
12077,1,60,3,18,0,0,74,no
44888,1,32,2,5,0,0,48,no
26970,1,48,5,7,1,0,48,no
67431,1,42,3,8,0,0,88,no
11595,1,33,1,6,0,0,47,no
16360,1,31,5,5,0,0,81,yes
68976,1,38,5,3,1,0,51,no
75357,1,26,3,3,0,0,85,no
73947,1,35,3,7,0,0,60,no
44959,1,51,5,3,1,1,84,yes
70370,1,23,,1,1,0,71,yes
63460,1,33,3,6,1,0,83,no
56914,1,29,5,5,1,0,44,yes
58068,1,29,2,3,0,0,83,no
46363,1,24,5,2,0,0,83,no
692,2,32,1,6,0,0,45,no
8958,1,30,4,4,1,0,48,no
64239,1,30,4,3,1,0,87,no
31133,2,30,5,2,1,0,82,yes
47735,2,35,3,10,0,0,80,no
38645,1,49,1,5,1,0,48,no
76563,1,36,5,2,0,0,58,no
46788,1,56,1,4,0,0,46,no
75029,1,56,5,4,1,0,61,no
10125,1,30,2,4,0,0,60,no
45316,1,34,1,7,1,0,60,no
25217,1,42,4,7,0,0,83,no
48202,1,33,5,8,0,0,85,no
4474,3,42,1,5,1,1,45,no
56618,1,26,3,3,0,0,90,no
70667,2,46,5,14,1,0,70,no
33298,1,28,2,2,0,0,77,no
40379,1,42,5,4,1,0,59,no
34159,1,39,4,6,1,0,65,no
66061,1,31,4,6,0,0,47,no
62114,1,30,,1,0,0,56,no
68432,1,32,5,3,1,0,55,no
70204,1,46,3,16,0,0,72,no
4046,2,28,5,6,1,0,48,yes
74496,1,39,3,7,0,0,71,no
2548,1,34,3,6,0,0,62,no
45275,1,33,5,3,0,0,48,no
49681,1,41,3,9,0,0,59,no
71592,1,49,3,2,0,0,54,no
63640,1,46,4,19,0,0,79,no
28162,1,25,5,3,0,0,83,no
3416,1,37,3,3,0,0,87,no
22858,2,24,,1,1,0,83,yes
58001,2,31,3,3,0,0,79,no
43148,1,27,3,5,0,0,66,no
56623,2,25,3,2,0,0,50,no
18571,1,26,,1,0,0,66,no
46018,1,37,3,4,0,0,82,no
7651,1,32,3,2,1,0,50,no
33214,2,35,5,6,1,0,61,no
69704,1,33,3,8,0,0,74,no
60329,1,59,5,15,1,0,59,no
34636,1,31,1,6,0,0,79,no
31792,1,50,1,19,0,1,60,no
58992,2,32,4,5,0,0,55,no
37449,1,30,5,2,1,0,81,no
8981,1,35,3,5,0,0,60,no
14674,1,32,5,7,1,0,53,yes
40649,2,29,1,4,1,0,78,yes
9837,1,26,1,2,0,0,47,no
69294,2,34,3,5,0,0,76,no
42014,3,33,5,2,1,0,57,no
10664,1,38,4,8,0,0,55,no
2872,1,36,4,8,1,0,58,no
48985,1,56,3,7,0,0,82,no
53124,2,32,3,2,0,0,82,no
46049,2,33,5,6,1,0,61,yes
50390,2,47,3,8,1,0,60,no
39092,1,27,5,2,1,1,93,yes
53558,2,31,2,2,0,0,59,no
21388,1,41,4,14,0,0,61,no
8182,3,30,3,4,1,0,67,no
66667,1,34,3,6,0,0,55,no
11265,1,30,,1,1,0,50,yes
19857,1,33,5,4,1,0,67,no
33697,1,49,3,5,1,0,49,no
37604,1,34,4,5,1,0,97,yes
27590,1,31,2,6,0,0,69,no
58122,2,60,4,5,0,0,87,no
16607,2,32,1,2,0,0,49,no
21212,1,30,3,4,0,0,51,no
18569,1,38,1,7,0,0,50,no
37218,2,37,4,2,1,0,80,no
76059,1,34,5,7,1,0,49,no
58933,1,41,1,10,0,0,45,no
61011,2,27,3,4,0,0,50,no
41056,1,34,5,2,1,0,61,no
